gene,day0_rep1,day0_rep2,day0_rep3,day1_rep1,day1_rep2,day1_rep3,day2_rep1,day2_rep2,day2_rep3,day4_rep1,day4_rep2,day4_rep3,day5_rep1,day5_rep2,day11_rep1,day11_rep2,day11_rep3,day18_rep1,day18_rep2,day18_rep3
RP11-1365D11.1,26,39,63,45,42,34,21,26,25,79,35,51,97,44,63,47,80,75,81,65
ZNF876P,180,220,247,255,211,223,110,110,158,330,351,267,447,241,228,207,302,316,311,243
AC079140.1,0,2,2,0,0,4,0,0,0,0,3,0,1,0,0,0,0,2,4,0
RP11-478C6.6,23,26,41,47,29,49,22,26,19,38,68,37,79,25,51,54,53,53,47,64
RP11-478C6.5,12,10,11,15,0,9,5,6,2,13,16,18,20,5,13,13,10,10,16,11
ZNF732,59,109,82,119,96,84,55,58,60,125,107,86,143,56,111,54,75,175,128,126
RP11-478C6.1,2,0,0,8,5,9,0,2,0,0,0,0,12,9,17,14,12,0,1,2
ZNF141,929,1183,1244,2224,1901,1835,1009,895,890,2045,1980,1636,3082,1499,2357,2289,2667,2470,1970,1890
RP11-478C6.2,3,3,8,15,6,5,2,5,9,6,8,3,13,2,9,8,13,18,7,11
RP11-478C6.4,9,9,11,13,7,3,2,7,9,17,22,13,41,15,18,11,17,15,21,14
MIR571,0,2,0,4,1,0,0,0,0,0,0,0,2,0,0,2,1,3,3,1
RP11-2H3.7,11,5,13,44,16,17,2,9,10,4,7,2,19,5,31,19,34,13,13,6
ZNF519P4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AC092574.1,4,8,6,19,25,21,14,12,6,18,22,8,35,7,32,20,49,22,14,20
RP11-2H3.6,7,26,35,72,57,49,18,14,17,41,35,36,86,33,66,86,83,39,36,56
ABCA11P,117,133,128,201,142,173,66,61,68,178,196,126,311,153,207,302,230,211,209,140
ZNF721,1525,1875,2037,3729,3135,3093,1719,1694,1502,3707,3759,2931,6042,3171,4358,5299,4969,4069,3590,3630
AC092574.2,5,5,2,16,10,12,3,3,2,11,3,7,9,14,14,16,12,9,14,13
PIGG,2501,2869,3607,4471,4454,3980,2389,2307,2321,4439,4217,3300,7858,4106,5870,6127,6590,6087,5124,5092
RP11-1263C18.1,0,0,4,20,20,23,4,4,4,16,7,18,31,22,97,88,102,3,8,8
PDE6B,10,5,13,51,41,32,52,39,47,89,71,61,113,37,60,40,58,78,101,88
RP11-1191J2.2,2,2,5,12,9,16,27,24,18,29,22,34,36,32,14,12,14,25,27,26
RP11-1191J2.5,2,2,0,6,10,9,26,18,21,12,22,4,26,17,9,5,9,33,12,30
ATP5I,654,745,882,842,868,987,424,478,553,1032,958,927,1862,900,1067,927,1246,1159,1108,987
MYL5,149,125,211,402,455,431,276,264,312,782,765,625,1196,688,555,417,615,567,606,527
MFSD7,29,8,36,48,44,32,29,56,55,111,118,84,165,78,44,35,32,80,85,70
PCGF3,4010,4879,5595,8477,7589,7406,3335,3309,3236,6754,6668,5355,12231,6316,11272,11010,12748,7543,6613,6312
RP11-1191J2.4,0,2,4,25,4,2,0,4,0,2,2,0,4,0,3,6,10,4,7,5
RP11-440L14.4,10,24,12,86,50,38,25,11,6,30,30,14,49,38,64,41,86,41,42,18
RP11-440L14.1,159,211,248,383,359,357,167,206,163,349,341,304,523,251,535,397,580,429,434,326
AC139887.4,7,3,5,42,16,13,4,5,0,17,13,8,18,13,22,35,29,23,5,15
CPLX1,71,39,66,429,449,387,81,76,97,198,199,155,546,363,1220,1016,1439,167,145,123
RP11-440L14.3,0,0,0,7,0,1,0,0,0,4,2,0,2,0,4,1,8,0,4,4
GAK,3327,3000,4684,5772,5811,5380,2878,3080,3102,6280,6205,5145,10297,5805,7591,8206,9091,7561,6970,6313
TMEM175,392,448,546,1649,1732,1604,645,622,646,1489,1399,1194,2637,1524,2903,2609,3067,1678,1512,1251
DGKQ,581,465,875,1690,1784,1473,744,809,866,1490,1549,1141,2625,1578,3049,2736,3273,1769,1555,1522
SLC26A1,14,17,19,173,154,124,54,41,52,127,104,171,204,113,234,171,266,104,109,80
IDUA,41,26,46,283,333,328,159,157,184,342,401,315,542,325,593,523,629,265,244,204
FGFRL1,3055,2469,4079,3411,3576,3253,1832,2056,2123,4016,4041,3095,5930,3371,4532,3760,5385,5188,4917,4382
RP11-460I19.2,0,0,0,2,2,3,0,0,0,2,0,1,2,2,1,3,0,2,0,0
RNF212,6,14,6,17,24,29,19,16,15,18,20,27,45,25,33,36,32,46,44,32
RP11-20I20.1,0,2,0,2,0,4,0,0,6,4,2,0,6,2,2,6,2,6,4,3
RP11-20I20.2,0,0,0,0,0,0,4,2,4,0,6,0,0,0,1,2,2,0,5,0
TMED11P,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
AC092535.3,0,0,2,7,1,0,0,0,0,0,0,1,4,2,4,11,2,4,2,6
SPON2,28,27,54,110,113,95,40,50,43,56,60,55,153,105,172,176,195,108,86,68
RP11-20I20.4,2,0,0,4,7,6,2,2,6,0,0,4,11,6,6,4,10,2,8,10
CTBP1-AS,170,144,246,307,282,264,128,158,168,348,262,202,448,236,390,385,412,281,280,235
CTBP1,4329,3926,5934,6579,6774,6025,3374,3429,3713,7408,7065,5392,11091,5915,9231,10318,10814,8503,7871,7007
CTBP1-AS2,918,929,1135,1933,1914,1791,951,990,1020,2921,2632,2180,3930,2098,2627,1919,2993,2289,2234,2049
MAEA,3338,3207,4686,5454,5410,5045,2697,2964,3141,6479,6195,4737,10414,5476,6759,6155,7754,7339,6626,5810
UVSSA,1021,1251,1581,2223,1911,1798,1408,1294,1339,2709,2510,2054,4491,2419,2917,2326,3012,2832,2641,2206
AC078852.1,2,6,12,8,3,7,4,2,3,1,0,4,8,3,6,2,7,13,0,3
AC078852.2,1,3,3,11,4,0,0,3,0,0,3,0,7,7,11,6,7,2,6,2
CRIPAK,557,574,756,1248,1177,1092,734,735,783,1565,1754,1365,3134,1537,1847,1684,2171,1618,1474,1500
NKX1-1,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,1,0,0,4
RP13-1016M1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1398P2.1,0,0,0,0,0,1,2,3,0,0,2,0,0,0,0,0,0,2,0,2
FAM53A,2,7,12,25,20,22,13,14,11,46,37,14,48,28,22,23,26,58,49,37
SLBP,2416,3058,3197,3054,2940,2711,1972,1880,2042,4461,4357,3339,6325,3033,3597,3810,4135,4490,4135,4015
RP11-572O17.1,12,16,23,40,43,22,15,14,19,40,23,28,46,12,58,64,42,38,25,31
TMEM129,1806,1583,2582,3103,3446,3009,1651,2082,2013,4420,4410,3311,6995,3787,4205,3042,4687,4133,4094,3481
TACC3,7272,7310,10416,6720,6971,6311,3557,4326,4029,7845,7801,5794,10141,5281,5279,2307,6195,9922,9167,8136
FGFR3,3007,2723,4352,9512,9805,9301,5034,6069,5877,12860,12666,9856,16231,8820,13619,9310,15500,13025,11423,10131
LETM1,3406,3392,4734,5288,4939,4773,2936,3053,2992,6422,5813,4965,10472,5427,6925,7310,7830,7495,6690,6081
RN7SL671P,4,0,2,6,4,10,1,2,1,5,9,11,18,4,5,2,5,3,5,0
WHSC1,17735,21625,25394,33432,31711,29468,15899,16810,15933,36306,34903,27012,50074,24853,38127,31083,44039,40048,35044,32287
SCARNA22,3,10,9,15,9,6,0,2,7,6,4,3,6,2,8,14,15,5,15,4
NELFA,1915,1520,2480,3683,3600,3145,2089,2297,2319,4418,4097,3288,6382,3429,4739,5451,5860,4952,4866,4180
MIR943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4orf48,551,405,638,1317,1914,1657,428,461,528,885,785,583,1753,962,2463,2308,2625,715,813,725
NAT8L,1814,1557,2621,6457,6724,5582,3076,3125,3442,8030,7813,5916,12741,6722,10581,10586,11692,7261,6897,6055
POLN,29,56,41,104,91,109,87,91,104,157,161,112,152,88,221,458,239,200,126,162
RP11-317B7.2,0,0,0,2,2,6,4,2,3,5,3,4,11,2,7,11,10,4,6,2
RP11-317B7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0
HAUS3,1026,1383,1379,1871,1792,1643,939,863,943,2240,2252,1798,3333,1537,2482,2284,2769,2210,2096,1865
COX6B1P5,5,6,0,7,3,4,0,2,0,1,0,0,4,0,2,7,6,0,0,1
MXD4,2049,1781,3056,10023,10516,9629,2127,2615,2535,6836,6435,4913,10328,5719,13920,9522,15028,6202,5737,5417
MIR4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFYVE28,6,8,6,43,46,49,20,28,29,38,44,36,110,44,115,189,128,23,46,22
RP11-478C1.7,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,5,0,0,0,0
RN7SL589P,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0
RP11-478C1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RP11-503N18.1,0,0,0,6,8,6,0,0,0,0,0,0,6,8,10,5,7,0,2,0
CFAP99,2,5,1,6,2,3,2,6,2,8,8,5,10,11,10,16,2,6,4,5
RNF4,4700,6272,6544,6355,6242,5748,3026,2878,3041,6758,6330,5300,11022,5462,7860,7999,9176,7222,6592,6221
RP11-503N18.4,0,2,4,0,5,8,0,1,0,2,0,0,6,0,7,1,3,4,0,1
RP11-503N18.5,12,32,23,62,34,29,11,13,6,27,23,10,48,29,44,23,30,22,39,21
WI2-89927D4.1,0,2,0,1,1,4,1,0,0,0,1,2,2,4,2,3,7,1,5,3
FAM193A,2567,2740,3627,6328,5979,5665,2747,2735,2890,6156,5795,4719,9964,5263,8641,9781,9971,6538,6012,5777
TNIP2,883,846,1187,887,862,890,793,847,820,1348,1172,1089,1790,979,1170,1334,1298,1848,1719,1568
SH3BP2,1961,2050,2941,4936,4559,4457,1702,1795,1827,3893,3601,2861,7157,3710,7168,8605,8055,4411,4242,3752
ADD1,14009,15880,19552,27061,25996,24009,12164,11865,12117,25754,25183,19748,45847,23132,36050,34855,41986,30574,27741,26297
MFSD10,2655,2201,3833,3772,4247,3732,2505,2863,2978,4450,4251,3449,7774,4178,5766,5584,6726,6128,5818,5145
NOP14-AS1,574,583,811,1804,1754,1544,644,671,616,1583,1516,1156,2956,1570,2773,1920,3069,1510,1419,1296
NOP14,2061,2386,2739,2091,1916,1812,1440,1404,1466,3041,3026,2411,4786,2388,2103,2314,2592,3848,3452,3264
GRK4,150,183,187,452,446,447,158,199,180,413,377,355,656,376,836,846,954,421,418,356
AL390065.1,0,1,0,7,0,0,1,0,0,0,3,0,1,2,8,4,1,1,5,2
RNU6-204P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HTT-AS,0,4,0,2,0,1,0,0,0,0,1,0,0,1,6,0,0,2,0,0
HTT-AS1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTT-AS1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTT,8061,9197,11393,14259,13073,12395,6407,6293,6343,14120,13884,10684,24317,12778,17795,15663,20192,16147,14119,13778
MSANTD1,27,10,25,119,74,92,36,32,38,84,72,55,110,65,218,464,293,115,121,76
RGS12,3786,3612,5419,6920,7101,6494,3342,3140,3521,7049,6729,4912,12089,6163,10083,10285,11528,7615,7055,6810
RP11-357G3.2,19,39,56,81,63,82,22,24,23,65,64,46,138,70,95,45,81,86,67,71
RP11-357G3.1,0,0,3,6,0,0,4,1,1,0,4,0,2,0,7,9,3,0,11,0
HGFAC,41,50,60,289,259,289,130,121,148,267,210,183,423,253,632,1076,704,487,376,345
DOK7,25,23,35,76,45,38,9,11,14,41,30,34,48,28,82,96,91,61,55,51
RP11-529E10.6,33,52,67,159,150,149,38,59,71,140,85,126,257,110,309,218,305,141,170,104
LRPAP1,3870,3771,5498,6499,6133,5604,3370,3376,3674,7323,7342,5647,11512,5966,8889,8887,10518,8831,8210,7216
FKSG51,2,4,4,9,11,6,2,5,0,2,1,3,8,6,16,8,14,5,2,5
RP11-529E10.7,0,0,0,4,5,2,2,5,2,2,0,7,4,0,14,8,7,6,4,0
LINC00955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP3-368B9.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
RP3-513G18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AC141928.1,0,4,1,8,0,4,8,4,12,5,4,4,12,11,10,14,8,1,4,4
ADRA2C,6,0,8,2,1,8,19,12,14,34,18,32,50,22,7,4,10,24,17,16
OR7E163P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OR7E162P,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0
RP11-718M20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC226119.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC226119.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALG1L7P,11,8,13,21,22,15,19,17,29,24,33,30,70,26,20,4,31,35,25,22
FAM86EP,129,172,174,209,230,192,135,123,131,372,375,238,630,292,228,133,252,378,333,343
ENPP7P9,0,2,0,0,0,0,2,0,0,0,0,2,3,0,2,2,0,2,3,2
RP11-489M13.1,0,0,0,0,0,0,0,0,0,1,2,1,4,1,3,4,6,0,1,0
AC116562.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP11-489M13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-489M13.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4D12P,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC93B4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
OR7E99P,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,3,0
OR7E43P,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
OTOP1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,5,0,0,1,2
TMEM128,865,1109,1208,1661,1596,1558,925,919,921,1942,1794,1445,3319,1524,2128,2084,2386,2043,1972,1876
LYAR,982,1265,1312,628,612,605,435,481,491,1120,975,878,1587,733,716,784,825,1227,1088,1027
ZBTB49,285,371,424,762,671,748,321,282,287,666,654,486,1248,611,1031,1034,1235,696,687,673
RP11-265O12.1,0,0,0,4,0,4,0,0,2,2,2,0,8,0,4,0,0,1,2,0
D4S234E,216,267,291,6035,6121,5767,427,408,447,1779,1704,1324,5470,2986,15167,19101,17847,1022,809,791
STX18,1178,1340,1507,2183,2124,1995,1198,1207,1234,2520,2546,1948,4288,2018,2551,2878,3105,2934,2658,2500
STX18-IT1,0,0,0,4,0,0,0,0,4,0,1,1,2,1,2,2,2,0,1,0
RPS7P15,0,0,0,3,0,1,2,0,0,0,0,0,0,1,1,0,0,0,4,0
STX18-AS1,77,88,110,320,312,261,161,116,129,281,305,233,504,252,340,302,456,344,304,247
RP11-326I19.2,12,10,13,36,40,32,24,21,8,30,27,28,74,20,71,70,57,44,29,39
LINC01396,0,0,0,3,6,10,4,0,2,0,2,3,11,2,5,10,14,7,3,2
MSX1,16,13,38,27,26,51,20,27,22,39,61,32,73,52,43,86,65,66,52,21
LDHAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CYTL1,20,35,26,0,0,0,10,4,2,5,11,4,15,6,3,2,2,20,18,14
STK32B,445,567,609,213,178,187,184,155,206,202,184,141,567,282,345,527,328,539,492,508
RN7SKP275,3,12,4,2,4,2,5,6,0,8,4,10,8,3,4,10,9,14,2,10
LINC01587,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
EVC2,3,8,10,10,12,2,11,14,6,13,11,2,15,10,2,24,7,18,23,14
EVC,961,1238,1400,2017,1779,1672,1758,1597,1702,2871,2614,2035,4046,2177,2045,1814,2151,3817,3549,3400
CRMP1,16646,17211,22569,54301,54566,50755,14459,15317,15245,36878,35140,27192,64525,34154,81580,84505,96552,34825,32312,29960
C4orf50,2,0,0,2,0,0,0,0,0,0,0,0,2,0,7,7,0,0,0,0
MIR378D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAKMIP1,2,0,0,5,7,6,0,0,2,2,5,2,12,10,39,49,48,4,2,2
RP11-586D19.1,0,0,0,2,4,0,0,0,2,7,6,0,10,1,1,2,5,2,5,0
RP11-586D19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
RP11-1406H17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
WFS1,1010,846,1483,1557,1771,1540,873,907,1052,2219,2226,1826,3697,2020,2129,1886,2468,2232,2105,1912
PPP2R2C,2,4,0,17,28,31,15,14,24,42,44,22,84,54,220,280,272,34,14,18
MAN2B2,744,688,1030,2645,2644,2410,1080,1211,1226,2715,2512,2050,4495,2648,3674,3792,4427,2613,2551,2155
MRFAP1,13072,15246,18066,20048,19285,18737,11098,10893,11611,23698,22330,18130,40562,19248,25250,25684,29640,26950,24563,23094
RP11-539L10.3,10,10,14,49,44,47,22,12,24,57,51,31,77,58,75,62,74,41,51,42
AC093323.3,722,841,819,1419,1368,1282,681,685,711,1670,1732,1383,2762,1233,1648,1322,1829,1834,1804,1681
RP11-539L10.2,7,7,7,20,19,17,8,10,4,6,13,18,32,17,20,48,32,10,18,12
RP11-539L10.4,0,2,0,14,4,6,2,0,2,0,0,0,6,8,18,13,7,3,6,2
S100P,2,6,12,11,7,9,8,0,6,6,5,6,10,15,16,18,21,19,12,12
RP11-539L10.5,2,2,4,8,4,8,4,4,0,0,11,2,0,0,8,8,4,1,7,1
MRFAP1L1,2691,3210,3516,6324,6213,5968,2419,2473,2696,5677,5686,4299,10283,5015,9414,9495,10664,6117,5644,5204
BLOC1S4,630,700,926,807,860,835,513,521,587,1116,1114,832,1819,882,1171,1167,1265,1249,1156,1037
KIAA0232,4540,6455,6643,10721,10275,9968,5150,4788,4605,11108,10765,8640,19213,9128,17030,17555,19422,11464,9792,9753
TBC1D14,2249,2688,3232,5420,5163,4957,2170,2108,2118,5489,5404,4256,9745,5006,6880,6561,8087,5916,5128,4803
AC097382.5,0,3,5,9,1,4,4,3,0,6,3,9,9,0,4,6,9,12,16,0
RN7SKP292,2,3,0,6,1,2,0,0,2,3,3,0,10,2,6,6,0,2,0,2
AC097382.1,0,0,2,3,4,0,0,0,0,0,2,0,1,0,2,0,1,0,2,0
RP11-367J11.2,6,24,20,46,12,28,7,6,2,29,5,7,42,32,34,28,25,22,12,11
CCDC96,115,102,188,215,220,177,64,64,71,228,199,183,384,177,280,278,287,236,180,196
TADA2B,1354,1566,1880,2527,2732,2374,1226,1291,1349,3046,2893,2400,4504,2179,3716,4590,4556,2961,2869,2549
GRPEL1,1344,1854,1927,1499,1627,1405,769,752,899,2027,1922,1576,3344,1676,1936,2668,2278,2272,2116,1976
RP11-367J11.3,6,4,2,16,15,14,6,8,2,13,23,21,36,8,17,12,33,11,26,12
RN7SKP36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
SORCS2,46,51,62,572,555,557,78,68,79,153,153,109,195,107,1392,1363,1562,183,181,174
MIR4798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC080003.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSAPL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AFAP1-AS1,2,8,16,86,28,34,10,8,10,12,6,11,29,22,56,71,55,5,11,10
AFAP1,2893,3291,3977,11288,11056,10288,2479,2397,2320,5446,5181,3901,10978,5919,17149,17033,19673,5037,4478,4526
AC097381.1,2,8,0,11,0,6,0,0,0,2,2,0,6,2,11,8,12,3,4,2
ABLIM2,43,55,41,293,337,317,14,30,18,95,106,59,332,156,613,587,718,130,99,80
MIR95,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
RP11-338K13.1,0,0,0,3,2,2,0,0,0,0,0,0,0,4,6,8,2,2,0,0
RP11-1258F18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
GMPSP1,8,9,11,9,4,3,0,6,1,11,8,12,16,13,11,13,13,10,8,9
SH3TC1,51,51,72,102,93,81,104,103,113,182,194,156,543,321,75,83,76,188,201,195
AC104650.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC104650.2,0,0,0,1,0,0,0,0,0,0,2,0,2,3,0,0,0,3,0,0
HTRA3,54,56,97,9,17,2,16,22,20,26,47,16,38,28,7,16,8,159,123,108
RP11-774O3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-774O3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RP11-774O3.3,112,111,153,663,733,608,205,267,280,706,676,579,1281,632,1081,1034,1218,667,525,539
ACOX3,608,748,920,1400,1261,1301,673,579,645,1372,1418,1062,2129,1048,1864,1853,2006,1628,1604,1461
RNA5SP152,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2
TRMT44,416,490,588,965,868,754,480,448,437,1118,988,797,1640,792,1265,1337,1413,1141,1236,936
RP11-689P11.3,0,0,4,5,4,3,0,1,0,0,0,0,0,2,1,0,0,0,2,0
RP11-689P11.2,44,41,38,96,82,109,61,51,55,117,96,95,132,86,145,124,167,112,100,121
GPR78,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,2
CPZ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0
RP11-1338A24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMX1,0,0,4,3,13,6,6,6,2,4,6,2,6,6,23,23,28,3,8,8
RP13-582L3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
RP11-747H12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC93B8,0,0,0,0,8,0,2,0,0,2,0,0,4,1,0,4,2,0,2,2
RP11-747H12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-747H12.4,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,4
RP11-747H12.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2
AC073648.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
RP11-747H12.5,0,0,0,3,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0
SNRPCP16,5,1,2,2,0,4,4,5,0,7,3,1,5,3,10,2,7,3,10,2
ENPP7P10,2,2,2,17,5,19,5,4,4,12,13,7,34,7,15,2,8,10,13,18
FAM86KP,4,4,2,8,9,8,5,7,1,14,16,11,21,7,21,9,26,25,3,8
ALG1L14P,0,0,1,0,0,0,2,1,0,2,1,0,2,0,2,1,0,2,1,2
AC108519.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A26,2,1,1,3,3,8,1,2,2,4,1,2,1,1,11,7,17,6,4,3
USP17L10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
USP17L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
USP17L14P,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
USP17L15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L16P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
USP17L19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
USP17L23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
USP17L24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
USP17L9P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP17L6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1396O13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP11-1396O13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RNA5SP153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1396O13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR7E86P,0,1,0,2,0,2,1,0,0,2,1,2,1,0,0,2,3,2,0,0
AC097493.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR7E85P,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
UNC93B7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
OR7E83P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
RP11-1396O13.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
RP11-1396O13.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MIR548I2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1396O13.2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
SNRPCP13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
ENPP7P11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
FAM86MP,1,0,0,3,1,1,0,1,0,1,0,0,0,0,1,1,2,0,1,2
ALG1L3P,0,1,2,0,0,0,0,0,0,4,1,0,1,1,0,2,1,1,0,0
RP11-751L19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
